date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2017/1/2,5.563063202,-0.623962396,0.563481085,4.742544465,3.203848464,1.916077773,5.563063202
2017/1/9,5.601230783,-0.689135943,0.539076099,4.753782161,3.16879202,1.93305321,5.601230783
2017/1/16,5.644606957,-0.723659277,0.5132176,4.728978392,3.068927612,1.884876246,5.644606957
2017/1/23,5.67304949,-0.727128426,0.558708571,4.774414767,3.032618761,1.880813592,5.67304949
2017/1/30,5.840825974,-0.706175277,0.568201724,4.87796996,3.002597981,1.925753972,5.840825974
2017/2/6,5.59129283,-0.670842927,0.459392488,4.785073454,3.028164419,1.832508913,5.59129283
2017/2/13,5.572182455,-0.63059857,0.450249108,4.749635844,3.049605613,1.859052477,5.572182455
2017/2/20,5.557698442,-0.592603991,0.45331834,4.730313825,2.991669007,1.956991218,5.557698442
2017/2/27,5.558986814,-0.561886077,0.477121255,4.685338598,3.10720997,1.847748879,5.558986814
2017/3/6,5.562909957,-0.541752274,0.488550717,4.722066007,3.056904851,1.952861604,5.562909957
2017/3/13,5.569243953,-0.53063825,0.499687083,4.744918542,3.046104787,1.963787827,5.569243953
2017/3/20,5.600316059,-0.525025674,0.499687083,4.74530906,2.989894564,1.95008655,5.600316059
2017/3/27,5.583831045,-0.521843263,0.50242712,4.751425384,3.014100322,1.903864821,5.583831045
2017/4/3,5.556881174,-0.518222412,0.515873844,4.678618519,2.942999593,1.94094317,5.556881174
2017/4/10,5.567804809,-0.513288913,0.499687083,4.716487479,2.915927212,1.954931319,5.567804809
2017/4/17,5.622530041,-0.509505912,0.499687083,4.761085483,2.852479994,1.93305321,5.622530041
2017/4/24,5.679852897,-0.509597285,0.496929648,4.739872845,2.776701184,1.937374584,5.679852897
2017/5/1,5.562899263,-0.516361879,0.51054501,4.683668302,2.586587305,1.953552605,5.562899263
2017/5/8,5.573026016,-0.531608526,0.50242712,4.692326864,2.592176757,1.940231795,5.573026016
2017/5/15,5.596524524,-0.551882002,0.5289167,4.683335271,2.57863921,1.934498451,5.596524524
2017/5/22,5.588996234,-0.571730792,0.51054501,4.688268505,2.507855872,1.920570515,5.588996234
2017/5/29,5.567554495,-0.584695791,0.515873844,4.656050264,2.285557309,1.932328782,5.567554495
2017/6/5,5.558102295,-0.584290181,0.482873584,4.650734806,2.235528447,1.914569805,5.558102295
2017/6/12,5.554249232,-0.573140234,0.491361694,4.745480776,2.278753601,1.951476293,5.554249232
2017/6/19,5.584552839,-0.561127058,0.521138084,4.701913211,2.416640507,1.951476293,5.584552839
2017/6/26,5.578539506,-0.557536535,0.507855872,4.695061188,2.636487896,1.911538068,5.578539506
2017/7/3,5.607657647,-0.571602856,0.546542663,4.73989656,2.522444234,1.959041392,5.607657647
2017/7/10,5.665574425,-0.609133716,0.558708571,4.73452781,2.722633923,1.936657335,5.665574425
2017/7/17,5.667406252,-0.668541132,0.539076099,4.818146684,2.832508913,1.95630567,5.667406252
2017/7/24,5.694010818,-0.748105731,0.526339277,4.792713789,2.822168079,1.910014226,5.694010818
2017/7/31,5.695129545,-0.844634665,0.499687083,4.790840874,2.85672889,1.938090651,5.695129545
2017/8/7,5.735279448,-0.95078188,0.494154594,4.764549719,2.958085849,1.928688405,5.735279448
2017/8/14,5.743905467,-1.061926627,0.499687083,4.749233727,2.922725458,1.900757155,5.743905467
2017/8/21,5.517960849,-1.173400051,0.477121255,4.913103571,2.959518377,1.927223667,5.517960849
2017/8/28,5.479526365,-1.275336364,0.477121255,4.720647094,2.966141733,1.913056582,5.479526365
