date,N-tourists,T_avg,Sentiment,Baidu,ILI%,N_influenza,N-tourist
2017/1/2,5.563063202,1.307496038,-0.623962396,4.742544465,0.563481085,3.203848464,5.563063202
2017/1/9,5.601230783,1.207980403,-0.689135943,4.753782161,0.539076099,3.16879202,5.601230783
2017/1/16,5.644606957,1.211806811,-0.723659277,4.728978392,0.5132176,3.068927612,5.644606957
2017/1/23,5.67304949,1.231542404,-0.727128426,4.774414767,0.558708571,3.032618761,5.67304949
2017/1/30,5.840825974,1.245512668,-0.706175277,4.87796996,0.568201724,3.002597981,5.840825974
2017/2/6,5.59129283,1.164777594,-0.670842927,4.785073454,0.459392488,3.028164419,5.59129283
2017/2/13,5.572182455,1.244453843,-0.63059857,4.749635844,0.450249108,3.049605613,5.572182455
2017/2/20,5.557698442,1.163927702,-0.592603991,4.730313825,0.45331834,2.991669007,5.557698442
2017/2/27,5.558986814,1.247622605,-0.561886077,4.685338598,0.477121255,3.10720997,5.558986814
2017/3/6,5.562909957,1.232269865,-0.541752274,4.722066007,0.488550717,3.056904851,5.562909957
2017/3/13,5.569243953,1.259730364,-0.53063825,4.744918542,0.499687083,3.046104787,5.569243953
2017/3/20,5.600316059,1.282330738,-0.525025674,4.74530906,0.499687083,2.989894564,5.600316059
2017/3/27,5.583831045,1.290034611,-0.521843263,4.751425384,0.50242712,3.014100322,5.583831045
2017/4/3,5.556881174,1.347190573,-0.518222412,4.678618519,0.515873844,2.942999593,5.556881174
2017/4/10,5.567804809,1.339593391,-0.513288913,4.716487479,0.499687083,2.915927212,5.567804809
2017/4/17,5.622530041,1.375532979,-0.509505912,4.761085483,0.499687083,2.852479994,5.622530041
2017/4/24,5.679852897,1.338740997,-0.509597285,4.739872845,0.496929648,2.776701184,5.679852897
2017/5/1,5.562899263,1.397691769,-0.516361879,4.683668302,0.51054501,2.586587305,5.562899263
2017/5/8,5.573026016,1.410897687,-0.531608526,4.692326864,0.50242712,2.592176757,5.573026016
2017/5/15,5.596524524,1.38840572,-0.551882002,4.683335271,0.5289167,2.57863921,5.596524524
2017/5/22,5.588996234,1.402875226,-0.571730792,4.688268505,0.51054501,2.507855872,5.588996234
2017/5/29,5.567554495,1.444713799,-0.584695791,4.656050264,0.515873844,2.285557309,5.567554495
2017/6/5,5.558102295,1.462397998,-0.584290181,4.650734806,0.482873584,2.235528447,5.558102295
2017/6/12,5.554249232,1.433655561,-0.573140234,4.745480776,0.491361694,2.278753601,5.554249232
2017/6/19,5.584552839,1.437297465,-0.561127058,4.701913211,0.521138084,2.416640507,5.584552839
2017/6/26,5.578539506,1.458529936,-0.557536535,4.695061188,0.507855872,2.636487896,5.578539506
2017/7/3,5.607657647,1.43090395,-0.571602856,4.73989656,0.546542663,2.522444234,5.607657647
2017/7/10,5.665574425,1.449147676,-0.609133716,4.73452781,0.558708571,2.722633923,5.665574425
2017/7/17,5.667406252,1.430443648,-0.668541132,4.818146684,0.539076099,2.832508913,5.667406252
2017/7/24,5.694010818,1.467079316,-0.748105731,4.792713789,0.526339277,2.822168079,5.694010818
2017/7/31,5.695129545,1.457665668,-0.844634665,4.790840874,0.499687083,2.85672889,5.695129545
2017/8/7,5.735279448,1.463039339,-0.95078188,4.764549719,0.494154594,2.958085849,5.735279448
2017/8/14,5.743905467,1.465382851,-1.061926627,4.749233727,0.499687083,2.922725458,5.743905467
2017/8/21,5.517960849,1.452443628,-1.173400051,4.913103571,0.477121255,2.959518377,5.517960849
2017/8/28,5.479526365,1.445604203,-1.275336364,4.720647094,0.477121255,2.966141733,5.479526365
2017/9/4,5.575436107,1.443821566,-1.351249466,4.723217525,0.456366033,2.63748973,5.575436107
2017/9/11,5.629237274,1.470872305,-1.384235062,4.700599889,0.46834733,3.038222638,5.629237274
2017/9/18,5.645242422,1.45484486,-1.36908297,4.721249873,0.456366033,2.81756537,5.645242422
2017/9/25,5.615578692,1.459392488,-1.315190406,4.754867955,0.447158031,2.864511081,5.615578692
2017/10/2,5.785898317,1.454627114,-1.238944037,4.768134709,0.544068044,2.113943352,5.785898317
2017/10/9,5.568994468,1.42301169,-1.157050191,4.806925777,0.544068044,2.640481437,5.568994468
2017/10/16,5.644368663,1.370539523,-1.084816474,4.756788199,0.544068044,2.624282096,5.644368663
2017/10/23,5.642648488,1.375010048,-1.030248655,4.700539312,0.444044796,2.649334859,5.642648488
2017/10/30,5.658304327,1.355752458,-0.997971124,4.719372725,0.459392488,2.620136055,5.658304327
2017/11/6,5.669889363,1.358750424,-0.991794347,4.751340702,0.456366033,2.699837726,5.669889363
2017/11/13,5.672555936,1.34101034,-1.006791664,4.833918081,0.471291711,2.696356389,5.672555936
2017/11/20,5.671831655,1.216731267,-1.033675747,4.789496101,0.5132176,2.890979597,5.671831655
2017/11/27,5.639826023,1.311451111,-1.062256048,4.755684334,0.539076099,3.142076461,5.639826023
2017/12/4,5.653697687,1.241617624,-1.079996189,4.762108131,0.568201724,3.27600199,5.653697687
2017/12/11,5.683331669,1.223087822,-1.082498592,4.78970055,0.614897216,3.400710637,5.683331669
2017/12/18,5.659358957,1.174848642,-1.078047662,4.785173176,0.668385917,3.504878459,5.659358957
2017/12/25,5.677272892,1.24621712,-1.07603044,4.79019365,0.709269961,3.56205483,5.677272892
2018/1/1,5.581478605,1.23660923,-1.085797395,4.80545328,0.772321707,3.533009022,5.581478605
2018/1/8,5.627828584,1.08278537,-1.115348277,4.830851603,0.763427994,3.577261954,5.627828584
2018/1/15,5.680473305,1.241261791,-1.164104217,4.837000986,0.785329835,3.628899564,5.680473305
2018/1/22,5.685562611,1.223829572,-1.229504514,4.89580915,0.740362689,3.527501011,5.685562611
2018/1/29,5.661154595,0.906950408,-1.30770667,4.90795389,0.675778342,3.533263517,5.661154595
2018/2/5,5.739518549,1.105753419,-1.390716591,4.855743211,0.633468456,3.466719372,5.739518549
2018/2/12,5.785529138,1.22604725,-1.466695867,4.858621402,0.712649702,3.31196566,5.785529138
2018/2/19,5.820432015,1.241617624,-1.519701099,4.892673276,0.629409599,3.297760511,5.820432015
2018/2/26,5.572530071,1.290034611,-1.530789076,4.811186111,0.551449998,3.236537261,5.572530071
2018/3/5,5.586263151,1.235889007,-1.490206554,4.799285397,0.5132176,3.137354111,5.586263151
2018/3/12,5.62810578,1.29572414,-1.418113006,4.848743182,0.505149978,3.050766311,5.62810578
